ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
comp0_c0_seq1	4	0	4
comp1000_c0_seq1	21	1	22
comp1001_c0_seq1	2	8	10
comp1002_c0_seq1	6	0	6
comp1003_c0_seq1	7	0	7
comp1004_c0_seq1	13	1	14
comp1005_c0_seq1	11	1	12
comp1006_c0_seq1	3	1	4
comp1007_c0_seq1	43	1	44
comp1008_c0_seq1	0	0	0
comp1009_c0_seq1	17	1	18
comp100_c0_seq1	32	0	32
comp1010_c0_seq1	6	3	9
comp1011_c0_seq1	7	2	9
comp1012_c0_seq1	9	1	10
comp1013_c0_seq1	8	0	8
comp1014_c0_seq1	6	2	8
comp1015_c0_seq1	16	0	16
comp1016_c0_seq1	0	1	1
comp1017_c0_seq1	14	2	16
comp1018_c0_seq1	18	1	19
comp1019_c0_seq1	4	2	6
comp101_c0_seq1	39	1	40
comp1020_c0_seq1	32	3	35
comp1021_c0_seq1	4	0	4
comp1022_c0_seq1	2	1	3
comp1023_c0_seq1	0	0	0
comp1024_c0_seq1	10	0	10
comp1025_c0_seq1	1	0	1
comp1026_c0_seq1	15	2	17
comp1027_c0_seq1	6	2	8
comp1028_c0_seq1	31	5	36
comp1029_c0_seq1	13	3	16
comp1030_c0_seq1	18	4	22
comp1031_c0_seq1	14	1	15
comp1032_c0_seq1	14	1	15
comp1033_c0_seq1	5	0	5
comp1034_c0_seq1	24	1	25
comp1035_c0_seq1	36	2	38
comp1036_c0_seq1	11	0	11
comp1037_c0_seq1	7	0	7
comp1038_c0_seq1	5	0	5
comp1039_c0_seq1	23	5	28
comp103_c0_seq1	92	7	99
comp1040_c0_seq1	12	1	13
comp1041_c0_seq1	0	15	15
comp1042_c0_seq1	7	0	7
comp1043_c0_seq1	20	3	23
comp1044_c0_seq1	5	0	5
comp1045_c0_seq1	8	0	8
comp1046_c0_seq1	8	0	8
comp1047_c0_seq1	5	2	7
comp1048_c0_seq1	8	2	10
comp1049_c0_seq1	12	0	12
comp104_c0_seq1	15	2	17
comp1050_c0_seq1	7	0	7
comp1051_c0_seq1	12	0	12
comp1052_c0_seq1	16	0	16
comp1053_c0_seq1	40	5	45
comp1054_c0_seq1	10	1	11
comp1055_c0_seq1	6	0	6
comp1056_c0_seq1	19	2	21
comp1057_c0_seq1	8	1	9
comp1058_c0_seq1	36	3	39
comp1059_c0_seq1	4	1	5
comp105_c0_seq1	48	1	49
comp1060_c0_seq1	25	6	31
comp1061_c0_seq1	8	4	12
comp1062_c0_seq1	23	1	24
comp1063_c0_seq1	6	0	6
comp1064_c0_seq1	7	0	7
comp1065_c0_seq1	8	0	8
comp1066_c0_seq1	14	0	14
comp1067_c0_seq1	10	0	10
comp1068_c0_seq1	6	0	6
comp1069_c0_seq1	7	1	8
comp106_c0_seq1	16	2	18
comp1070_c0_seq1	20	1	21
comp1071_c0_seq1	10	0	10
comp1072_c0_seq1	5	2	7
comp1073_c0_seq1	14	0	14
comp1074_c0_seq1	3	2	5
comp1075_c0_seq1	5	2	7
comp1076_c0_seq1	20	1	21
comp1077_c0_seq1	25	2	27
