ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
comp0_c0_seq1	4	2	6
comp1000_c0_seq1	9	2	11
comp1001_c0_seq1	0	3	3
comp1002_c0_seq1	4	0	4
comp1003_c0_seq1	3	0	3
comp1004_c0_seq1	3	0	3
comp1005_c0_seq1	11	0	11
comp1006_c0_seq1	7	0	7
comp1007_c0_seq1	30	5	35
comp1008_c0_seq1	0	1	1
comp1009_c0_seq1	14	3	17
comp100_c0_seq1	20	1	21
comp1010_c0_seq1	2	1	3
comp1011_c0_seq1	2	1	3
comp1012_c0_seq1	10	1	11
comp1013_c0_seq1	26	2	28
comp1014_c0_seq1	10	2	12
comp1015_c0_seq1	17	2	19
comp1016_c0_seq1	0	1	1
comp1017_c0_seq1	15	1	16
comp1018_c0_seq1	20	2	22
comp1019_c0_seq1	5	1	6
comp101_c0_seq1	40	4	44
comp1020_c0_seq1	25	1	26
comp1021_c0_seq1	1	1	2
comp1022_c0_seq1	10	0	10
comp1023_c0_seq1	0	2	2
comp1024_c0_seq1	6	0	6
comp1025_c0_seq1	5	1	6
comp1026_c0_seq1	6	3	9
comp1027_c0_seq1	13	0	13
comp1028_c0_seq1	9	2	11
comp1029_c0_seq1	17	3	20
comp1030_c0_seq1	6	6	12
comp1031_c0_seq1	6	1	7
comp1032_c0_seq1	4	1	5
comp1033_c0_seq1	6	1	7
comp1034_c0_seq1	11	0	11
comp1035_c0_seq1	39	1	40
comp1036_c0_seq1	25	0	25
comp1037_c0_seq1	8	1	9
comp1038_c0_seq1	5	1	6
comp1039_c0_seq1	25	3	28
comp103_c0_seq1	95	9	104
comp1040_c0_seq1	9	0	9
comp1041_c0_seq1	0	13	13
comp1042_c0_seq1	6	0	6
comp1043_c0_seq1	12	2	14
comp1044_c0_seq1	4	2	6
comp1045_c0_seq1	8	3	11
comp1046_c0_seq1	7	4	11
comp1047_c0_seq1	9	1	10
comp1048_c0_seq1	3	0	3
comp1049_c0_seq1	8	0	8
comp104_c0_seq1	31	0	31
comp1050_c0_seq1	5	4	9
comp1051_c0_seq1	16	1	17
comp1052_c0_seq1	10	0	10
comp1053_c0_seq1	3	1	4
comp1054_c0_seq1	12	1	13
comp1055_c0_seq1	4	1	5
comp1056_c0_seq1	43	2	45
comp1057_c0_seq1	2	1	3
